date,amount,category,merchant,description,type,currency,balance
2024-02-22,-3834.24,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-57559.73
2024-02-22,-1393.31,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-58953.04
2024-02-23,-739.97,Dining Out,CCD,Dining Out at CCD,debit,INR,-59693.01
2024-02-23,-703.52,Utilities,BESCOM,Utilities at BESCOM,debit,INR,-60396.53
2024-02-24,-1601.34,Utilities,DTH Recharge,Utilities at DTH Recharge,debit,INR,-61997.869999999995
2024-02-24,-483.93,Shopping,Myntra,Shopping at Myntra,debit,INR,-62481.799999999996
2024-02-25,-170.52,Other,Online Payment,Other at Online Payment,debit,INR,-62652.31999999999
2024-02-25,-1203.14,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-63855.45999999999
2024-02-26,-299.35,Entertainment,PVR Cinemas,Entertainment at PVR Cinemas,debit,INR,-64154.80999999999
2024-02-27,-1394.21,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-65549.01999999999
2024-02-28,-321.63,Entertainment,PVR Cinemas,Entertainment at PVR Cinemas,debit,INR,-65870.65
2024-02-29,-360.27,Shopping,Amazon India,Shopping at Amazon India,debit,INR,-66230.92
2024-02-29,30297.06,Income,Tech Company,Monthly Salary,credit,INR,-35933.86
2024-03-01,-659.35,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,-36593.21
2024-03-01,-1080.43,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-37673.64
2024-03-02,-714.49,Transport,Ola,Transport at Ola,debit,INR,-38388.13
2024-03-02,-2014.63,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-40402.759999999995
2024-03-02,-316.75,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-40719.509999999995
2024-03-03,-1409.65,Groceries,DMart,Groceries at DMart,debit,INR,-42129.159999999996
2024-03-03,-2597.9,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-44727.06
2024-03-03,-533.95,Dining Out,Domino's,Dining Out at Domino's,debit,INR,-45261.009999999995
2024-03-04,-1735.55,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-46996.56
2024-03-04,-2875.19,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-49871.75
2024-03-05,-2010.83,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-51882.58
2024-03-05,-734.67,Healthcare,Doctor Visit,Healthcare at Doctor Visit,debit,INR,-52617.25
2024-03-06,-683.51,Dining Out,Local Restaurant,Dining Out at Local Restaurant,debit,INR,-53300.76
2024-03-06,-1724.18,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-55024.94
2024-03-06,-5155.56,Shopping,Brand Factory,Shopping at Brand Factory,debit,INR,-60180.5
2024-03-07,-595.69,Utilities,Reliance Jio,Utilities at Reliance Jio,debit,INR,-60776.19
2024-03-08,-706.48,Dining Out,CCD,Dining Out at CCD,debit,INR,-61482.670000000006
2024-03-08,-2346.19,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-63828.86000000001
2024-03-09,-201.41,Other,ATM,Other at ATM,debit,INR,-64030.27000000001
2024-03-09,-633.82,Transport,Indian Oil,Transport at Indian Oil,debit,INR,-64664.09000000001
2024-03-10,-101.72,Dining Out,McDonald's India,Dining Out at McDonald's India,debit,INR,-64765.81000000001
2024-03-12,-323.12,Dining Out,CCD,Dining Out at CCD,debit,INR,-65088.930000000015
2024-03-13,-1311.61,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-66400.54000000001
2024-03-14,-1979.27,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-68379.81000000001
2024-03-14,-507.81,Dining Out,Domino's,Dining Out at Domino's,debit,INR,-68887.62000000001
2024-03-16,-1761.8,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-70649.42000000001
2024-03-16,-291.91,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,-70941.33000000002
2024-03-17,-500.27,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-71441.60000000002
2024-03-17,-1442.49,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-72884.09000000003
2024-03-17,-648.23,Entertainment,BookMyShow,Entertainment at BookMyShow,debit,INR,-73532.32000000002
2024-03-18,-597.07,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,-74129.39000000003
2024-03-18,-1604.86,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-75734.25000000003
2024-03-19,-1106.78,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-76841.03000000003
2024-03-19,-885.94,Utilities,Gas Agency,Utilities at Gas Agency,debit,INR,-77726.97000000003
2024-03-19,-3477.34,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-81204.31000000003
2024-03-20,-1311.28,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-82515.59000000003
2024-03-20,-762.27,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,-83277.86000000003
2024-03-21,-1944.07,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-85221.93000000004
2024-03-21,-1778.73,Utilities,Airtel,Utilities at Airtel,debit,INR,-87000.66000000003
2024-03-21,-268.02,Transport,Auto Rickshaw,Transport at Auto Rickshaw,debit,INR,-87268.68000000004
2024-03-22,-930.0,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-88198.68000000004
2024-03-23,-512.68,Dining Out,CCD,Dining Out at CCD,debit,INR,-88711.36000000003
2024-03-23,-1769.42,Groceries,DMart,Groceries at DMart,debit,INR,-90480.78000000003
2024-03-24,-633.7,Shopping,Myntra,Shopping at Myntra,debit,INR,-91114.48000000003
2024-03-24,-1128.08,Groceries,DMart,Groceries at DMart,debit,INR,-92242.56000000003
2024-03-25,-401.48,Dining Out,Domino's,Dining Out at Domino's,debit,INR,-92644.04000000002
2024-03-25,-1770.67,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-94414.71000000002
2024-03-26,-410.57,Other,Online Payment,Other at Online Payment,debit,INR,-94825.28000000003
2024-03-27,-660.82,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-95486.10000000003
2024-03-27,-421.92,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-95908.02000000003
2024-03-28,-691.07,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-96599.09000000004
2024-03-29,-3132.78,Shopping,Amazon India,Shopping at Amazon India,debit,INR,-99731.87000000004
2024-03-29,-998.24,Healthcare,Local Clinic,Healthcare at Local Clinic,debit,INR,-100730.11000000004
2024-03-29,-518.22,Entertainment,PVR Cinemas,Entertainment at PVR Cinemas,debit,INR,-101248.33000000005
2024-03-29,-312.95,Other,Miscellaneous,Other at Miscellaneous,debit,INR,-101561.28000000004
2024-03-30,-2048.94,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-103610.22000000004
2024-03-30,-678.65,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-104288.87000000004
2024-03-30,-204.51,Dining Out,CCD,Dining Out at CCD,debit,INR,-104493.38000000003
2024-03-31,72083.1,Income,Local Business,Monthly Salary,credit,INR,-32410.280000000028
2024-04-01,111186.66,Income,Tech Company,Monthly Salary,credit,INR,78776.37999999998
2024-04-02,-2517.4,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,76258.97999999998
2024-04-04,-1818.5,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,74440.47999999998
2024-04-05,-907.32,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,73533.15999999997
2024-04-06,-2979.26,Shopping,Medical Store,Shopping at Medical Store,debit,INR,70553.89999999998
2024-04-06,-3471.67,Shopping,Flipkart,Shopping at Flipkart,debit,INR,67082.22999999998
2024-04-07,-1888.93,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,65193.29999999998
2024-04-08,-2309.93,Shopping,Local Mall,Shopping at Local Mall,debit,INR,62883.36999999998
2024-04-08,-2064.88,Groceries,DMart,Groceries at DMart,debit,INR,60818.48999999998
2024-04-08,-710.17,Transport,HP Petrol,Transport at HP Petrol,debit,INR,60108.319999999985
2024-04-08,-922.21,Entertainment,Gym,Entertainment at Gym,debit,INR,59186.109999999986
2024-04-09,-2271.05,Other,Miscellaneous,Other at Miscellaneous,debit,INR,56915.05999999998
2024-04-09,-2740.1,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,54174.959999999985
2024-04-09,-292.46,Entertainment,Gym,Entertainment at Gym,debit,INR,53882.499999999985
2024-04-10,-289.13,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,53593.36999999999
2024-04-10,-2121.06,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,51472.30999999999
2024-04-11,-1797.15,Groceries,DMart,Groceries at DMart,debit,INR,49675.15999999999
2024-04-11,-605.28,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,49069.87999999999
2024-04-12,-226.01,Transport,Ola,Transport at Ola,debit,INR,48843.86999999999
2024-04-13,-901.4,Healthcare,Local Clinic,Healthcare at Local Clinic,debit,INR,47942.46999999999
2024-04-14,-465.64,Transport,Auto Rickshaw,Transport at Auto Rickshaw,debit,INR,47476.82999999999
2024-04-14,-83.62,Transport,Indian Oil,Transport at Indian Oil,debit,INR,47393.209999999985
2024-04-14,-1122.72,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,46270.48999999998
2024-04-15,-880.93,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,45389.55999999998
2024-04-15,-1065.87,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,44323.68999999998
2024-04-16,-604.69,Other,Miscellaneous,Other at Miscellaneous,debit,INR,43718.99999999998
2024-04-17,-2107.57,Groceries,Spencer's,Groceries at Spencer's,debit,INR,41611.42999999998
2024-04-18,-425.28,Transport,Indian Oil,Transport at Indian Oil,debit,INR,41186.14999999998
2024-04-19,-444.94,Utilities,BESCOM,Utilities at BESCOM,debit,INR,40741.20999999998
2024-04-19,-602.64,Transport,HP Petrol,Transport at HP Petrol,debit,INR,40138.56999999998
2024-04-20,-265.3,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,39873.269999999975
2024-04-21,-432.44,Transport,Ola,Transport at Ola,debit,INR,39440.82999999997
2024-04-22,-183.66,Dining Out,CCD,Dining Out at CCD,debit,INR,39257.16999999997
2024-04-24,-403.32,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,38853.84999999997
2024-04-25,-2211.6,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,36642.24999999997
2024-04-25,-629.84,Shopping,Local Mall,Shopping at Local Mall,debit,INR,36012.409999999974
2024-04-26,-2398.01,Groceries,DMart,Groceries at DMart,debit,INR,33614.39999999997
2024-04-27,-2664.88,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,30949.51999999997
2024-04-28,-422.47,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,30527.04999999997
2024-04-28,-2757.88,Shopping,Medical Store,Shopping at Medical Store,debit,INR,27769.16999999997
2024-04-29,-1921.37,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,25847.79999999997
2024-04-29,-532.59,Dining Out,Zomato,Dining Out at Zomato,debit,INR,25315.20999999997
2024-04-29,-1621.59,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,23693.61999999997
2024-04-30,-2736.92,Shopping,Medical Store,Shopping at Medical Store,debit,INR,20956.699999999968
2024-04-30,-1498.22,Utilities,BWSSB,Utilities at BWSSB,debit,INR,19458.479999999967
2024-05-01,-1477.76,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,17980.71999999997
2024-05-02,-5241.24,Shopping,Local Mall,Shopping at Local Mall,debit,INR,12739.479999999969
2024-05-03,-2912.09,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,9827.389999999968
2024-05-03,-376.93,Transport,BMTC,Transport at BMTC,debit,INR,9450.459999999968
2024-05-03,-439.46,Dining Out,McDonald's India,Dining Out at McDonald's India,debit,INR,9010.999999999969
2024-05-04,-684.15,Other,ATM,Other at ATM,debit,INR,8326.84999999997
2024-05-06,-1454.45,Groceries,Spencer's,Groceries at Spencer's,debit,INR,6872.39999999997
2024-05-06,-571.69,Healthcare,Local Clinic,Healthcare at Local Clinic,debit,INR,6300.70999999997
2024-05-06,-2097.58,Shopping,Flipkart,Shopping at Flipkart,debit,INR,4203.12999999997
2024-05-06,-444.91,Transport,Auto Rickshaw,Transport at Auto Rickshaw,debit,INR,3758.2199999999702
2024-05-07,-2312.85,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,1445.3699999999703
2024-05-07,-535.63,Dining Out,CCD,Dining Out at CCD,debit,INR,909.7399999999703
2024-05-07,-1353.38,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-443.6400000000298
2024-05-08,-320.93,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,-764.5700000000297
2024-05-08,-348.24,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,-1112.8100000000297
2024-05-09,-833.81,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-1946.6200000000297
2024-05-09,-252.57,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,-2199.1900000000296
2024-05-09,-650.91,Transport,BMTC,Transport at BMTC,debit,INR,-2850.1000000000295
2024-05-10,-283.31,Healthcare,Local Clinic,Healthcare at Local Clinic,debit,INR,-3133.4100000000294
2024-05-10,-2675.84,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-5809.250000000029
2024-05-11,-319.19,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,-6128.440000000029
2024-05-11,-1085.83,Healthcare,Medical Tests,Healthcare at Medical Tests,debit,INR,-7214.270000000029
2024-05-11,-5456.12,Shopping,Myntra,Shopping at Myntra,debit,INR,-12670.390000000029
2024-05-12,-1128.37,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-13798.760000000028
2024-05-14,-714.95,Utilities,BWSSB,Utilities at BWSSB,debit,INR,-14513.710000000028
2024-05-15,-2735.21,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-17248.920000000027
2024-05-17,-4907.6,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-22156.520000000026
2024-05-18,-476.85,Dining Out,CCD,Dining Out at CCD,debit,INR,-22633.370000000024
2024-05-18,-732.57,Healthcare,Apollo Pharmacy,Healthcare at Apollo Pharmacy,debit,INR,-23365.940000000024
2024-05-18,-812.31,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,-24178.250000000025
2024-05-18,-563.39,Healthcare,Hospital,Healthcare at Hospital,debit,INR,-24741.640000000025
2024-05-19,-272.38,Dining Out,Swiggy,Dining Out at Swiggy,debit,INR,-25014.020000000026
2024-05-19,-863.41,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-25877.430000000026
2024-05-19,-999.25,Other,Online Payment,Other at Online Payment,debit,INR,-26876.680000000026
2024-05-21,-4755.05,Shopping,Flipkart,Shopping at Flipkart,debit,INR,-31631.730000000025
2024-05-21,-116.49,Dining Out,Zomato,Dining Out at Zomato,debit,INR,-31748.220000000027
2024-05-22,-1312.62,Other,Miscellaneous,Other at Miscellaneous,debit,INR,-33060.840000000026
2024-05-23,-515.81,Transport,Uber,Transport at Uber,debit,INR,-33576.65000000002
2024-05-24,-453.93,Transport,BMTC,Transport at BMTC,debit,INR,-34030.58000000002
2024-05-24,-763.85,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-34794.43000000002
2024-05-25,-5254.54,Shopping,Amazon India,Shopping at Amazon India,debit,INR,-40048.97000000002
2024-05-26,-2007.4,Utilities,BWSSB,Utilities at BWSSB,debit,INR,-42056.370000000024
2024-05-26,-532.81,Dining Out,CCD,Dining Out at CCD,debit,INR,-42589.18000000002
2024-05-26,-1385.42,Shopping,Myntra,Shopping at Myntra,debit,INR,-43974.60000000002
2024-05-27,-612.4,Transport,HP Petrol,Transport at HP Petrol,debit,INR,-44587.00000000002
2024-05-28,-507.09,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-45094.09000000002
2024-05-28,-840.46,Other,Online Payment,Other at Online Payment,debit,INR,-45934.55000000002
2024-05-28,-1400.13,Utilities,BESCOM,Utilities at BESCOM,debit,INR,-47334.680000000015
2024-05-29,-764.06,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-48098.74000000001
2024-05-30,-370.97,Dining Out,KFC,Dining Out at KFC,debit,INR,-48469.710000000014
2024-05-30,-1503.35,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-49973.06000000001
2024-05-30,-1759.15,Groceries,DMart,Groceries at DMart,debit,INR,-51732.210000000014
2024-05-30,-425.5,Dining Out,McDonald's India,Dining Out at McDonald's India,debit,INR,-52157.710000000014
2024-05-31,-1169.49,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-53327.20000000001
2024-05-31,-1240.46,Utilities,Airtel,Utilities at Airtel,debit,INR,-54567.66000000001
2024-05-31,36669.3,Income,Tech Company,Monthly Salary,credit,INR,-17898.360000000008
2024-05-31,-3070.55,Shopping,Brand Factory,Shopping at Brand Factory,debit,INR,-20968.910000000007
2024-06-01,47201.97,Income,Local Business,Monthly Salary,credit,INR,26233.059999999994
2024-06-01,-259.22,Other,UPI Transfer,Other at UPI Transfer,debit,INR,25973.839999999993
2024-06-01,-1829.09,Shopping,Flipkart,Shopping at Flipkart,debit,INR,24144.749999999993
2024-06-01,-3741.38,Shopping,Amazon India,Shopping at Amazon India,debit,INR,20403.36999999999
2024-06-02,-223.36,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,20180.00999999999
2024-06-03,-1964.75,Shopping,Amazon India,Shopping at Amazon India,debit,INR,18215.25999999999
2024-06-04,-695.1,Dining Out,KFC,Dining Out at KFC,debit,INR,17520.159999999993
2024-06-04,-4688.0,Shopping,Medical Store,Shopping at Medical Store,debit,INR,12832.159999999993
2024-06-05,-549.27,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,12282.889999999992
2024-06-06,-333.52,Transport,HP Petrol,Transport at HP Petrol,debit,INR,11949.369999999992
2024-06-07,-1251.23,Other,Online Payment,Other at Online Payment,debit,INR,10698.139999999992
2024-06-07,-3686.23,Shopping,Local Mall,Shopping at Local Mall,debit,INR,7011.909999999993
2024-06-07,-782.15,Entertainment,PVR Cinemas,Entertainment at PVR Cinemas,debit,INR,6229.759999999993
2024-06-08,-202.06,Entertainment,PVR Cinemas,Entertainment at PVR Cinemas,debit,INR,6027.6999999999925
2024-06-08,-988.72,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,5038.979999999992
2024-06-09,-1410.46,Utilities,Airtel,Utilities at Airtel,debit,INR,3628.5199999999923
2024-06-09,-1396.95,Other,ATM,Other at ATM,debit,INR,2231.5699999999924
2024-06-10,-327.79,Transport,HP Petrol,Transport at HP Petrol,debit,INR,1903.7799999999925
2024-06-10,-196.57,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,1707.2099999999925
2024-06-11,-1024.19,Utilities,BWSSB,Utilities at BWSSB,debit,INR,683.0199999999925
2024-06-11,-1645.07,Other,Miscellaneous,Other at Miscellaneous,debit,INR,-962.0500000000075
2024-06-12,-938.56,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-1900.6100000000074
2024-06-12,-853.47,Groceries,DMart,Groceries at DMart,debit,INR,-2754.080000000007
2024-06-12,-1801.39,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-4555.4700000000075
2024-06-12,-664.55,Transport,HP Petrol,Transport at HP Petrol,debit,INR,-5220.020000000008
2024-06-13,-271.57,Healthcare,Local Clinic,Healthcare at Local Clinic,debit,INR,-5491.590000000007
2024-06-15,-492.97,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,-5984.560000000008
2024-06-15,-234.63,Transport,Auto Rickshaw,Transport at Auto Rickshaw,debit,INR,-6219.190000000008
