date,amount,category,merchant,description,type,currency,balance
2024-01-19,-15.22,Entertainment,Spotify,Entertainment at Spotify,debit,GBP,-1857.9800000000002
2024-01-19,-33.76,Entertainment,Netflix,Entertainment at Netflix,debit,GBP,-1891.7400000000002
2024-01-19,-61.79,Utilities,Virgin Media,Utilities at Virgin Media,debit,GBP,-1953.5300000000002
2024-01-19,-163.04,Shopping,Zara,Shopping at Zara,debit,GBP,-2116.57
2024-01-20,-48.87,Entertainment,Cinema,Entertainment at Cinema,debit,GBP,-2165.44
2024-01-21,-130.38,Groceries,Lidl,Groceries at Lidl,debit,GBP,-2295.82
2024-01-22,-98.65,Shopping,Zara,Shopping at Zara,debit,GBP,-2394.4700000000003
2024-01-22,-143.56,Utilities,Sky,Utilities at Sky,debit,GBP,-2538.03
2024-01-22,-61.38,Shopping,John Lewis,Shopping at John Lewis,debit,GBP,-2599.4100000000003
2024-01-24,-35.97,Dining Out,Costa Coffee,Dining Out at Costa Coffee,debit,GBP,-2635.38
2024-01-25,-38.49,Dining Out,Nando's,Dining Out at Nando's,debit,GBP,-2673.87
2024-01-25,-106.63,Other,Online Purchase,Other at Online Purchase,debit,GBP,-2780.5
2024-01-26,-68.87,Groceries,Iceland,Groceries at Iceland,debit,GBP,-2849.37
2024-01-26,-83.74,Shopping,Boots,Shopping at Boots,debit,GBP,-2933.1099999999997
2024-01-28,-35.2,Shopping,Amazon UK,Shopping at Amazon UK,debit,GBP,-2968.3099999999995
2024-01-28,-17.37,Dining Out,Nando's,Dining Out at Nando's,debit,GBP,-2985.6799999999994
2024-01-28,-182.12,Shopping,Zara,Shopping at Zara,debit,GBP,-3167.7999999999993
2024-01-29,-23.9,Other,Online Purchase,Other at Online Purchase,debit,GBP,-3191.6999999999994
2024-01-30,-26.39,Entertainment,Netflix,Entertainment at Netflix,debit,GBP,-3218.0899999999992
2024-01-31,-51.95,Healthcare,Private GP,Healthcare at Private GP,debit,GBP,-3270.039999999999
2024-01-31,2053.52,Income,Employer Inc,Monthly Salary,credit,GBP,-1216.519999999999
2024-02-01,-12.19,Transport,First Bus,Transport at First Bus,debit,GBP,-1228.7099999999991
2024-02-03,-50.74,Transport,Tesco Petrol,Transport at Tesco Petrol,debit,GBP,-1279.4499999999991
2024-02-04,-77.55,Other,ATM Withdrawal,Other at ATM Withdrawal,debit,GBP,-1356.999999999999
2024-02-05,-11.92,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,GBP,-1368.9199999999992
2024-02-05,-17.18,Groceries,Iceland,Groceries at Iceland,debit,GBP,-1386.0999999999992
2024-02-06,-65.12,Transport,First Bus,Transport at First Bus,debit,GBP,-1451.2199999999993
2024-02-06,-47.12,Healthcare,Pharmacy,Healthcare at Pharmacy,debit,GBP,-1498.3399999999992
2024-02-07,-54.01,Transport,BP,Transport at BP,debit,GBP,-1552.3499999999992
2024-02-07,-25.62,Other,Miscellaneous,Other at Miscellaneous,debit,GBP,-1577.9699999999991
2024-02-08,-37.67,Entertainment,Netflix,Entertainment at Netflix,debit,GBP,-1615.6399999999992
2024-02-09,-28.98,Healthcare,Private GP,Healthcare at Private GP,debit,GBP,-1644.6199999999992
2024-02-10,-20.18,Transport,TfL,Transport at TfL,debit,GBP,-1664.7999999999993
2024-02-11,-112.8,Groceries,Tesco,Groceries at Tesco,debit,GBP,-1777.5999999999992
2024-02-12,-38.18,Transport,First Bus,Transport at First Bus,debit,GBP,-1815.7799999999993
2024-02-12,-33.32,Other,ATM Withdrawal,Other at ATM Withdrawal,debit,GBP,-1849.0999999999992
2024-02-13,-10.38,Other,Miscellaneous,Other at Miscellaneous,debit,GBP,-1859.4799999999993
2024-02-14,-42.68,Other,Bank Transfer,Other at Bank Transfer,debit,GBP,-1902.1599999999994
2024-02-15,-29.31,Entertainment,Netflix,Entertainment at Netflix,debit,GBP,-1931.4699999999993
2024-02-16,-45.38,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,-1976.8499999999995
2024-02-17,-47.05,Dining Out,Pizza Express,Dining Out at Pizza Express,debit,GBP,-2023.8999999999994
2024-02-18,-41.05,Groceries,Iceland,Groceries at Iceland,debit,GBP,-2064.9499999999994
2024-02-18,-61.21,Other,Online Purchase,Other at Online Purchase,debit,GBP,-2126.1599999999994
2024-02-19,-90.5,Shopping,Boots,Shopping at Boots,debit,GBP,-2216.6599999999994
2024-02-19,-68.76,Groceries,Lidl,Groceries at Lidl,debit,GBP,-2285.4199999999996
2024-02-20,-113.93,Utilities,Sky,Utilities at Sky,debit,GBP,-2399.3499999999995
2024-02-20,-22.72,Groceries,Iceland,Groceries at Iceland,debit,GBP,-2422.0699999999993
2024-02-20,-11.95,Dining Out,Costa Coffee,Dining Out at Costa Coffee,debit,GBP,-2434.019999999999
2024-02-21,-31.75,Groceries,Iceland,Groceries at Iceland,debit,GBP,-2465.769999999999
2024-02-21,-38.12,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,-2503.889999999999
2024-02-22,-67.09,Shopping,M&S,Shopping at M&S,debit,GBP,-2570.979999999999
2024-02-23,-24.55,Dining Out,Pizza Express,Dining Out at Pizza Express,debit,GBP,-2595.5299999999993
2024-02-23,-59.38,Groceries,Aldi,Groceries at Aldi,debit,GBP,-2654.9099999999994
2024-02-24,-81.16,Utilities,BT,Utilities at BT,debit,GBP,-2736.0699999999993
2024-02-24,-30.56,Transport,Tesco Petrol,Transport at Tesco Petrol,debit,GBP,-2766.629999999999
2024-02-24,-26.11,Entertainment,Gym Membership,Entertainment at Gym Membership,debit,GBP,-2792.7399999999993
2024-02-25,-66.85,Entertainment,Netflix,Entertainment at Netflix,debit,GBP,-2859.5899999999992
2024-02-26,-169.11,Shopping,H&M,Shopping at H&M,debit,GBP,-3028.6999999999994
2024-02-26,-15.45,Healthcare,Private GP,Healthcare at Private GP,debit,GBP,-3044.149999999999
2024-02-26,-40.08,Groceries,Tesco,Groceries at Tesco,debit,GBP,-3084.229999999999
2024-02-27,-24.61,Transport,BP,Transport at BP,debit,GBP,-3108.8399999999992
2024-02-27,-46.07,Healthcare,Dentist,Healthcare at Dentist,debit,GBP,-3154.9099999999994
2024-02-27,-50.72,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,-3205.629999999999
2024-02-28,-125.37,Utilities,Virgin Media,Utilities at Virgin Media,debit,GBP,-3330.999999999999
2024-02-29,3584.08,Income,Employer Inc,Monthly Salary,credit,GBP,253.08000000000084
2024-03-01,5139.35,Income,Employer Inc,Monthly Salary,credit,GBP,5392.430000000001
2024-03-02,-32.69,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,5359.740000000002
2024-03-02,-62.88,Groceries,Iceland,Groceries at Iceland,debit,GBP,5296.8600000000015
2024-03-02,-55.0,Healthcare,NHS Prescription,Healthcare at NHS Prescription,debit,GBP,5241.8600000000015
2024-03-03,-40.0,Healthcare,Private GP,Healthcare at Private GP,debit,GBP,5201.8600000000015
2024-03-03,-22.34,Entertainment,Netflix,Entertainment at Netflix,debit,GBP,5179.520000000001
2024-03-03,-28.96,Groceries,Lidl,Groceries at Lidl,debit,GBP,5150.560000000001
2024-03-04,-12.76,Healthcare,Dentist,Healthcare at Dentist,debit,GBP,5137.800000000001
2024-03-05,-89.72,Groceries,Lidl,Groceries at Lidl,debit,GBP,5048.080000000001
2024-03-06,-91.17,Other,Online Purchase,Other at Online Purchase,debit,GBP,4956.910000000001
2024-03-06,-62.05,Groceries,Lidl,Groceries at Lidl,debit,GBP,4894.860000000001
2024-03-07,-60.04,Shopping,Boots,Shopping at Boots,debit,GBP,4834.820000000001
2024-03-07,-125.85,Shopping,John Lewis,Shopping at John Lewis,debit,GBP,4708.97
2024-03-07,-39.47,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,4669.5
2024-03-08,-13.51,Transport,National Rail,Transport at National Rail,debit,GBP,4655.99
2024-03-08,-75.78,Healthcare,Private GP,Healthcare at Private GP,debit,GBP,4580.21
2024-03-08,-14.06,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,GBP,4566.15
2024-03-08,-44.46,Groceries,Aldi,Groceries at Aldi,debit,GBP,4521.69
2024-03-09,-49.99,Groceries,Aldi,Groceries at Aldi,debit,GBP,4471.7
2024-03-09,-13.97,Dining Out,Costa Coffee,Dining Out at Costa Coffee,debit,GBP,4457.73
2024-03-10,-80.42,Groceries,Iceland,Groceries at Iceland,debit,GBP,4377.3099999999995
2024-03-11,-23.52,Entertainment,Spotify,Entertainment at Spotify,debit,GBP,4353.789999999999
2024-03-11,-77.05,Groceries,Aldi,Groceries at Aldi,debit,GBP,4276.739999999999
2024-03-12,-30.23,Entertainment,Netflix,Entertainment at Netflix,debit,GBP,4246.509999999999
2024-03-12,-94.1,Other,Bank Transfer,Other at Bank Transfer,debit,GBP,4152.409999999999
2024-03-12,-63.33,Utilities,BT,Utilities at BT,debit,GBP,4089.079999999999
2024-03-12,-37.03,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,4052.049999999999
2024-03-14,-150.82,Shopping,H&M,Shopping at H&M,debit,GBP,3901.2299999999987
2024-03-14,-99.21,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,3802.0199999999986
2024-03-14,-44.48,Shopping,Zara,Shopping at Zara,debit,GBP,3757.5399999999986
2024-03-15,-14.09,Other,Online Purchase,Other at Online Purchase,debit,GBP,3743.4499999999985
2024-03-16,-16.3,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,3727.1499999999983
2024-03-16,-27.31,Dining Out,Starbucks,Dining Out at Starbucks,debit,GBP,3699.8399999999983
2024-03-16,-37.53,Transport,Tesco Petrol,Transport at Tesco Petrol,debit,GBP,3662.309999999998
2024-03-17,-43.16,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,3619.1499999999983
2024-03-18,-57.51,Healthcare,Private GP,Healthcare at Private GP,debit,GBP,3561.639999999998
2024-03-19,-25.33,Groceries,ASDA,Groceries at ASDA,debit,GBP,3536.309999999998
2024-03-19,-106.92,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,3429.389999999998
2024-03-19,-93.01,Groceries,Iceland,Groceries at Iceland,debit,GBP,3336.379999999998
2024-03-19,-99.67,Groceries,Lidl,Groceries at Lidl,debit,GBP,3236.7099999999978
2024-03-20,-134.19,Shopping,John Lewis,Shopping at John Lewis,debit,GBP,3102.5199999999977
2024-03-20,-66.66,Other,ATM Withdrawal,Other at ATM Withdrawal,debit,GBP,3035.859999999998
2024-03-20,-26.4,Dining Out,Local Pub,Dining Out at Local Pub,debit,GBP,3009.4599999999978
2024-03-21,-31.04,Utilities,EDF Energy,Utilities at EDF Energy,debit,GBP,2978.419999999998
2024-03-21,-51.64,Transport,BP,Transport at BP,debit,GBP,2926.779999999998
2024-03-23,-29.36,Dining Out,Starbucks,Dining Out at Starbucks,debit,GBP,2897.419999999998
2024-03-23,-56.76,Groceries,Tesco,Groceries at Tesco,debit,GBP,2840.6599999999976
2024-03-24,-45.55,Other,ATM Withdrawal,Other at ATM Withdrawal,debit,GBP,2795.1099999999974
2024-03-24,-24.28,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,2770.829999999997
2024-03-24,-67.98,Groceries,Lidl,Groceries at Lidl,debit,GBP,2702.849999999997
2024-03-25,-70.1,Utilities,British Gas,Utilities at British Gas,debit,GBP,2632.7499999999973
2024-03-25,-150.76,Shopping,Next,Shopping at Next,debit,GBP,2481.989999999997
2024-03-26,-27.12,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,2454.869999999997
2024-03-27,-90.63,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,2364.239999999997
2024-03-27,-101.25,Groceries,Aldi,Groceries at Aldi,debit,GBP,2262.989999999997
2024-03-28,-122.93,Groceries,Lidl,Groceries at Lidl,debit,GBP,2140.059999999997
2024-03-28,-44.83,Entertainment,Gym Membership,Entertainment at Gym Membership,debit,GBP,2095.2299999999973
2024-03-28,-40.94,Transport,TfL,Transport at TfL,debit,GBP,2054.2899999999972
2024-03-29,-51.06,Entertainment,Gym Membership,Entertainment at Gym Membership,debit,GBP,2003.2299999999973
2024-03-29,-31.2,Dining Out,Starbucks,Dining Out at Starbucks,debit,GBP,1972.0299999999972
2024-03-31,-17.95,Groceries,Iceland,Groceries at Iceland,debit,GBP,1954.0799999999972
2024-03-31,-7.32,Transport,First Bus,Transport at First Bus,debit,GBP,1946.7599999999973
2024-03-31,-48.12,Dining Out,Costa Coffee,Dining Out at Costa Coffee,debit,GBP,1898.6399999999974
2024-03-31,-89.65,Groceries,Aldi,Groceries at Aldi,debit,GBP,1808.9899999999973
2024-04-02,-56.59,Groceries,Tesco,Groceries at Tesco,debit,GBP,1752.3999999999974
2024-04-02,-96.46,Other,Bank Transfer,Other at Bank Transfer,debit,GBP,1655.9399999999973
2024-04-03,-81.7,Groceries,Iceland,Groceries at Iceland,debit,GBP,1574.2399999999973
2024-04-03,-6.81,Other,ATM Withdrawal,Other at ATM Withdrawal,debit,GBP,1567.4299999999973
2024-04-03,-56.32,Groceries,Lidl,Groceries at Lidl,debit,GBP,1511.1099999999974
2024-04-04,-202.67,Shopping,Zara,Shopping at Zara,debit,GBP,1308.4399999999973
2024-04-05,-11.53,Other,ATM Withdrawal,Other at ATM Withdrawal,debit,GBP,1296.9099999999974
2024-04-06,-50.2,Healthcare,Private GP,Healthcare at Private GP,debit,GBP,1246.7099999999973
2024-04-06,-16.62,Dining Out,Local Pub,Dining Out at Local Pub,debit,GBP,1230.0899999999974
2024-04-07,-20.52,Transport,TfL,Transport at TfL,debit,GBP,1209.5699999999974
2024-04-07,-58.23,Groceries,ASDA,Groceries at ASDA,debit,GBP,1151.3399999999974
2024-04-08,-67.18,Transport,BP,Transport at BP,debit,GBP,1084.1599999999974
2024-04-09,-23.07,Entertainment,Spotify,Entertainment at Spotify,debit,GBP,1061.0899999999974
2024-04-11,-34.46,Dining Out,Starbucks,Dining Out at Starbucks,debit,GBP,1026.6299999999974
2024-04-12,-50.1,Entertainment,Spotify,Entertainment at Spotify,debit,GBP,976.5299999999974
2024-04-13,-32.96,Transport,Shell,Transport at Shell,debit,GBP,943.5699999999973
2024-04-14,-51.9,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,891.6699999999973
2024-04-15,-46.93,Entertainment,Gym Membership,Entertainment at Gym Membership,debit,GBP,844.7399999999974
2024-04-15,-27.98,Transport,TfL,Transport at TfL,debit,GBP,816.7599999999974
2024-04-16,-46.0,Transport,First Bus,Transport at First Bus,debit,GBP,770.7599999999974
2024-04-16,-162.04,Shopping,Boots,Shopping at Boots,debit,GBP,608.7199999999974
2024-04-17,-5.12,Transport,National Rail,Transport at National Rail,debit,GBP,603.5999999999974
2024-04-18,-91.28,Groceries,Lidl,Groceries at Lidl,debit,GBP,512.3199999999974
2024-04-19,-64.99,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,447.3299999999974
2024-04-19,-92.08,Groceries,Iceland,Groceries at Iceland,debit,GBP,355.24999999999744
2024-04-19,-35.59,Groceries,ASDA,Groceries at ASDA,debit,GBP,319.65999999999747
2024-04-20,-38.59,Healthcare,Private GP,Healthcare at Private GP,debit,GBP,281.06999999999744
2024-04-20,-48.1,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,GBP,232.96999999999744
2024-04-21,-53.95,Other,Bank Transfer,Other at Bank Transfer,debit,GBP,179.01999999999742
2024-04-21,-64.52,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,114.49999999999743
2024-04-21,-71.87,Groceries,Aldi,Groceries at Aldi,debit,GBP,42.62999999999742
2024-04-21,-71.83,Other,Miscellaneous,Other at Miscellaneous,debit,GBP,-29.200000000002575
2024-04-23,-38.42,Dining Out,McDonald's,Dining Out at McDonald's,debit,GBP,-67.62000000000258
2024-04-23,-58.96,Utilities,British Gas,Utilities at British Gas,debit,GBP,-126.58000000000257
2024-04-24,-78.25,Groceries,Tesco,Groceries at Tesco,debit,GBP,-204.83000000000257
2024-04-25,-40.78,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,-245.61000000000257
2024-04-25,-66.66,Healthcare,NHS Prescription,Healthcare at NHS Prescription,debit,GBP,-312.2700000000026
2024-04-25,-3.24,Transport,Tesco Petrol,Transport at Tesco Petrol,debit,GBP,-315.5100000000026
2024-04-25,-41.25,Healthcare,Opticians,Healthcare at Opticians,debit,GBP,-356.7600000000026
2024-04-27,-32.84,Dining Out,Pizza Express,Dining Out at Pizza Express,debit,GBP,-389.60000000000264
2024-04-28,-57.58,Shopping,H&M,Shopping at H&M,debit,GBP,-447.1800000000026
2024-04-29,-95.44,Groceries,Aldi,Groceries at Aldi,debit,GBP,-542.6200000000026
2024-04-29,-14.62,Dining Out,Starbucks,Dining Out at Starbucks,debit,GBP,-557.2400000000026
2024-04-30,2558.27,Income,Workplace PLC,Monthly Salary,credit,GBP,2001.0299999999975
2024-04-30,-74.37,Groceries,Tesco,Groceries at Tesco,debit,GBP,1926.6599999999976
2024-04-30,-18.38,Dining Out,Wagamama,Dining Out at Wagamama,debit,GBP,1908.2799999999975
2024-04-30,-30.93,Dining Out,Local Pub,Dining Out at Local Pub,debit,GBP,1877.3499999999974
2024-05-01,-35.62,Shopping,Boots,Shopping at Boots,debit,GBP,1841.7299999999975
2024-05-01,5256.89,Income,Company Ltd,Monthly Salary,credit,GBP,7098.619999999998
2024-05-03,-167.33,Shopping,Boots,Shopping at Boots,debit,GBP,6931.289999999998
2024-05-03,-38.67,Entertainment,Cinema,Entertainment at Cinema,debit,GBP,6892.619999999998
2024-05-03,-22.13,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,6870.489999999998
2024-05-04,-96.87,Shopping,Zara,Shopping at Zara,debit,GBP,6773.619999999998
2024-05-05,-24.37,Groceries,ASDA,Groceries at ASDA,debit,GBP,6749.249999999998
2024-05-05,-97.81,Groceries,ASDA,Groceries at ASDA,debit,GBP,6651.439999999998
2024-05-07,-72.8,Groceries,Lidl,Groceries at Lidl,debit,GBP,6578.639999999998
2024-05-08,-63.76,Transport,First Bus,Transport at First Bus,debit,GBP,6514.879999999997
2024-05-08,-40.86,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,6474.019999999998
2024-05-09,-21.84,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,6452.179999999998
2024-05-10,-36.71,Healthcare,Dentist,Healthcare at Dentist,debit,GBP,6415.4699999999975
2024-05-10,-64.82,Groceries,Iceland,Groceries at Iceland,debit,GBP,6350.649999999998
2024-05-10,-40.48,Entertainment,Spotify,Entertainment at Spotify,debit,GBP,6310.169999999998
2024-05-10,-52.98,Utilities,Sky,Utilities at Sky,debit,GBP,6257.189999999999
2024-05-11,-42.52,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,6214.669999999998
2024-05-11,-14.01,Groceries,ASDA,Groceries at ASDA,debit,GBP,6200.659999999998
2024-05-12,-34.71,Dining Out,Nando's,Dining Out at Nando's,debit,GBP,6165.949999999998
2024-05-12,-103.46,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,6062.489999999998
2024-05-13,-55.94,Groceries,ASDA,Groceries at ASDA,debit,GBP,6006.549999999998
2024-05-13,-10.29,Dining Out,Nando's,Dining Out at Nando's,debit,GBP,5996.259999999998
2024-05-14,-76.8,Other,Online Purchase,Other at Online Purchase,debit,GBP,5919.459999999998
2024-05-15,-50.6,Entertainment,Netflix,Entertainment at Netflix,debit,GBP,5868.859999999998
2024-05-15,-50.56,Transport,First Bus,Transport at First Bus,debit,GBP,5818.299999999997
2024-05-17,-53.81,Other,Bank Transfer,Other at Bank Transfer,debit,GBP,5764.489999999997
2024-05-17,-106.65,Utilities,Sky,Utilities at Sky,debit,GBP,5657.839999999997
2024-05-17,-101.54,Groceries,Aldi,Groceries at Aldi,debit,GBP,5556.299999999997
2024-05-18,-135.09,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,5421.209999999997
2024-05-18,-53.45,Shopping,Boots,Shopping at Boots,debit,GBP,5367.7599999999975
2024-05-18,-50.79,Entertainment,Cinema,Entertainment at Cinema,debit,GBP,5316.9699999999975
2024-05-19,-136.85,Shopping,M&S,Shopping at M&S,debit,GBP,5180.119999999997
2024-05-19,-64.99,Groceries,Lidl,Groceries at Lidl,debit,GBP,5115.129999999997
2024-05-20,-66.93,Shopping,Boots,Shopping at Boots,debit,GBP,5048.199999999997
2024-05-20,-128.5,Utilities,Thames Water,Utilities at Thames Water,debit,GBP,4919.699999999997
2024-05-20,-14.22,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,4905.479999999997
2024-05-21,-25.63,Dining Out,Pizza Express,Dining Out at Pizza Express,debit,GBP,4879.849999999997
2024-05-22,-28.8,Groceries,ASDA,Groceries at ASDA,debit,GBP,4851.0499999999965
2024-05-22,-31.76,Shopping,John Lewis,Shopping at John Lewis,debit,GBP,4819.289999999996
2024-05-23,-38.32,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,4780.969999999997
2024-05-23,-84.95,Utilities,Virgin Media,Utilities at Virgin Media,debit,GBP,4696.019999999997
2024-05-25,-117.38,Utilities,BT,Utilities at BT,debit,GBP,4578.639999999997
2024-05-25,-132.95,Shopping,John Lewis,Shopping at John Lewis,debit,GBP,4445.689999999997
2024-05-26,-36.76,Groceries,Tesco,Groceries at Tesco,debit,GBP,4408.929999999997
2024-05-27,-204.69,Shopping,Next,Shopping at Next,debit,GBP,4204.239999999997
2024-05-27,-60.05,Groceries,Lidl,Groceries at Lidl,debit,GBP,4144.189999999997
2024-05-28,-62.5,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,4081.689999999997
2024-05-29,-64.77,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,4016.919999999997
2024-05-30,-118.63,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,3898.289999999997
2024-05-30,-157.32,Shopping,Zara,Shopping at Zara,debit,GBP,3740.9699999999966
2024-05-31,-7.15,Transport,First Bus,Transport at First Bus,debit,GBP,3733.8199999999965
2024-06-01,3490.59,Income,Workplace PLC,Monthly Salary,credit,GBP,7224.409999999996
2024-06-01,-29.22,Transport,Shell,Transport at Shell,debit,GBP,7195.189999999996
2024-06-01,-66.17,Shopping,M&S,Shopping at M&S,debit,GBP,7129.019999999996
2024-06-02,-9.94,Transport,BP,Transport at BP,debit,GBP,7119.079999999996
2024-06-04,-122.47,Groceries,Lidl,Groceries at Lidl,debit,GBP,6996.609999999996
2024-06-04,-10.92,Dining Out,Pizza Express,Dining Out at Pizza Express,debit,GBP,6985.689999999996
2024-06-05,-29.39,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,6956.299999999996
2024-06-06,-33.1,Entertainment,Cinema,Entertainment at Cinema,debit,GBP,6923.199999999995
2024-06-06,-55.1,Other,Bank Transfer,Other at Bank Transfer,debit,GBP,6868.099999999995
2024-06-07,-201.95,Shopping,M&S,Shopping at M&S,debit,GBP,6666.149999999995
2024-06-07,-75.2,Groceries,Aldi,Groceries at Aldi,debit,GBP,6590.949999999995
2024-06-07,-12.73,Dining Out,Starbucks,Dining Out at Starbucks,debit,GBP,6578.219999999996
2024-06-08,-43.48,Dining Out,McDonald's,Dining Out at McDonald's,debit,GBP,6534.739999999996
2024-06-09,-15.58,Transport,BP,Transport at BP,debit,GBP,6519.159999999996
2024-06-10,-79.35,Groceries,Iceland,Groceries at Iceland,debit,GBP,6439.809999999996
2024-06-10,-83.95,Groceries,Aldi,Groceries at Aldi,debit,GBP,6355.859999999996
2024-06-10,-28.98,Transport,National Rail,Transport at National Rail,debit,GBP,6326.8799999999965
2024-06-11,-15.89,Dining Out,Nando's,Dining Out at Nando's,debit,GBP,6310.989999999996
2024-06-12,-59.03,Utilities,BT,Utilities at BT,debit,GBP,6251.959999999996
2024-06-12,-25.29,Dining Out,McDonald's,Dining Out at McDonald's,debit,GBP,6226.669999999996
2024-06-13,-45.01,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,GBP,6181.659999999996
2024-06-14,-138.59,Shopping,Zara,Shopping at Zara,debit,GBP,6043.069999999996
2024-06-14,-44.05,Healthcare,NHS Prescription,Healthcare at NHS Prescription,debit,GBP,5999.019999999996
2024-06-16,-59.51,Transport,First Bus,Transport at First Bus,debit,GBP,5939.509999999996
2024-06-17,-64.03,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,5875.479999999996
2024-06-17,-52.81,Other,Miscellaneous,Other at Miscellaneous,debit,GBP,5822.6699999999955
2024-06-18,-41.06,Utilities,EDF Energy,Utilities at EDF Energy,debit,GBP,5781.609999999995
2024-06-19,-43.21,Other,ATM Withdrawal,Other at ATM Withdrawal,debit,GBP,5738.399999999995
2024-06-19,-112.12,Shopping,Boots,Shopping at Boots,debit,GBP,5626.279999999995
